ID,P18_genere,P19_edat,P21_salari_brut_anual,P22_urba_rural,P22_provincia
122,R18_dona,R19_65anys_mes,R21_50000_mes,R22_urba,R22_barcelona
123,R18_dona,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
124,R18_dona,R19_25-34anys,R21_11000-16999,R22_urba,R22_barcelona
125,R18_dona,R19_16-24anys,R21_menys_11000,R22_semidens,R22_barcelona
126,R18_dona,R19_16-24anys,R21_menys_11000,R22_semidens,R22_barcelona
127,R18_home,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
129,R18_home,R19_35-44anys,R21_50000_mes,R22_urba,R22_girona
130,R18_dona,R19_35-44anys,R21_25000-35999,R22_urba,R22_girona
131,R18_dona,R19_55-64anys,R21_36000-49999,R22_urba,R22_barcelona
132,R18_dona,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
133,R18_dona,R19_55-64anys,R21_25000-35999,R22_semidens,R22_girona
134,R18_home,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
135,R18_dona,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
136,R18_dona,R19_45-54anys,R21_17000-24999,R22_urba,R22_barcelona
137,R18_dona,R19_55-64anys,R21_25000-35999,R22_semidens,R22_girona
138,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
139,R18_dona,R19_25-34anys,R21_11000-16999,R22_urba,R22_barcelona
140,R18_dona,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
141,R18_home,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
142,R18_home,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
143,R18_home,R19_45-54anys,R21_50000_mes,R22_semidens,R22_tarragona
144,R18_dona,R19_45-54anys,R21_25000-35999,R22_semidens,R22_girona
145,R18_home,R19_55-64anys,R21_36000-49999,R22_urba,R22_barcelona
146,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
147,R18_dona,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
148,R18_dona,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
149,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
150,R18_dona,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
151,R18_home,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
152,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
153,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
154,R18_dona,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
155,R18_dona,R19_55-64anys,R21_11000-16999,R22_urba,R22_barcelona
156,R18_dona,R19_45-54anys,R21_17000-24999,R22_urba,R22_barcelona
157,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
158,R18_home,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
159,R18_dona,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
160,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
161,R18_home,R19_65anys_mes,R21_17000-24999,R22_urba,R22_barcelona
162,R18_dona,R19_65anys_mes,R21_36000-49999,R22_urba,R22_barcelona
163,R18_dona,R19_25-34anys,R21_menys_11000,R22_urba,R22_barcelona
164,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_girona
165,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
166,R18_dona,R19_35-44anys,R21_menys_11000,R22_urba,R22_barcelona
167,R18_dona,R19_45-54anys,R21_17000-24999,R22_urba,R22_barcelona
168,R18_dona,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
169,R18_home,R19_65anys_mes,R21_36000-49999,R22_urba,R22_barcelona
170,R18_dona,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
171,R18_dona,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
172,R18_dona,R19_35-44anys,R21_17000-24999,R22_urba,R22_barcelona
174,R18_home,R19_35-44anys,R21_50000_mes,R22_semidens,R22_barcelona
175,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
176,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
177,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
179,R18_home,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
