cov_cat,var_cat,residual,significant,var,cov,p,sig,var_type
Girona,Low,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Lleida,Low,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Tarragona,Low,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Barcelona,Medium,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Girona,Medium,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Lleida,Medium,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Tarragona,Medium,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Man,High,NA,FALSE,Limited style availability,Q18_gender,0.05514196179390018,,barriers
Woman,High,NA,FALSE,Limited style availability,Q18_gender,0.05514196179390018,,barriers
Man,Low,NA,FALSE,Limited style availability,Q18_gender,0.05514196179390018,,barriers
Woman,Low,NA,FALSE,Limited style availability,Q18_gender,0.05514196179390018,,barriers
Man,Medium,NA,FALSE,Limited style availability,Q18_gender,0.05514196179390018,,barriers
Woman,Medium,NA,FALSE,Limited style availability,Q18_gender,0.05514196179390018,,barriers
16-34,High,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
35-54,High,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
≥ 55,High,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
16-34,Low,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
35-54,Low,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
≥ 55,Low,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
16-34,Medium,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
35-54,Medium,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
≥ 55,Medium,NA,FALSE,Limited style availability,Q19_age,0.12510689906463765,,barriers
"[17,000, 36,000)",High,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
"< 17,000",High,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
"≥ 36,000",High,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
"[17,000, 36,000)",Low,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
"< 17,000",Low,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
"≥ 36,000",Low,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
"[17,000, 36,000)",Medium,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
"< 17,000",Medium,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
"≥ 36,000",Medium,NA,FALSE,Limited style availability,Q21_annual_gross_salary,0.4379486345823067,,barriers
Rural,High,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
Town and suburb,High,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
Urban,High,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
Rural,Low,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
Town and suburb,Low,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
Urban,Low,NA,FALSE,Limited style availability,Q22B_degurba,0.20885378504854665,,barriers
